✓,Genre,Artist,Album
,,The Black Keys,Rubber Factory
,,The Black Keys,El Camino
,,The Black Keys,Attack & Release
,,The Black Keys,Brothers
,,The Blakes,The Blakes
,,The Books,Dark Was the Night
,,The Breeders,Pod
,,The Breeders,Last Splash
,,The Buzzcocks,Singles Going Steady
,,The Cave Singers,Naomi
,,The Cave Singers,No Witch
,,The Cave Singers,Invitation Songs
,,The Cave Singers,Welcome Joy
,,The Chemical Brothers,Exit Planet Dust
,,The Chemical Brothers,Dig Your Own Hole
,,The Chemical Brothers,Singles 93-03
,,The Chemical Brothers,Born in the Echoes
,,The Chemical Brothers,Push the Button
,,The Chemical Brothers,Further
,,The Church,Starfish
,,The Clash,Sandinista!
,,The Clash,Combat Rock
,,The Clash,The Clash
,,The Clash,The Singles
,,The Clash,London Calling
,,The Clean,anthology
,,The Congos,Heart of the Congos
,,The Cops,Free Electricity
,,The Coup,Pick a Bigger Weapon
,,The Cure,Japanese Whispers
,,The Cure,Seventeen Seconds
,,The Cure,Boys Don't Cry
,,The Cure,Three Imaginary Boys
,,The Cure,Wish
,,The Cure,The Head on the Door
,,The Cure,Kiss Me Kiss Me Kiss Me
,,The Cure,Disintegration
,,The Dandy Warhols,Welcome to the Monkey House
,,The Dandy Warhols,Thirteen Tales From Urban Bohemia
,,The Dandy Warhols,…The Dandy Warhols Come Down
,,The Dead Weather,Horehound
,,The Decemberists,The King Is Dead
,,The Decemberists,Picaresque
,,The Decemberists,The Crane Wife
,,The Detroit Cobras,Baby
,,The Dismemberment Plan,Emergency & I
,,The Drums,Portamento
,,The Drums,The Drums
,,The Fall,Fall Heads Roll
,,The Flaming Lips,Transmissions From the Satellite Heart
,,The Flaming Lips,The Soft Bulletin
,,The Flaming Lips,Yoshimi Battles the Pink Robots
,,The Fucking Eagles,Midnight Sour
,,The Futureheads,The Futureheads
,,The Go,Howl on the Haunted Beat You Ride
,,The Go! Team,Proof of Youth
,,The Go! Team,"Thunder, Lightning, Strike"
,,"The Good, the Bad & the Queen","The Good, the Bad & the Queen"
,,The Head and The Heart,Let's Be Still
,,The Head and The Heart,The Head and the Heart
,,The Heavy,The House That Dirt Built
,,The Helio Sequence,The Helio Sequence
,,The Helio Sequence,Love and Distance
,,The Helio Sequence,Negotiations
,,The Helio Sequence,Keep Your Eyes Ahead
,,The Hidden Cameras,The Smell of Our Own
,,The Hives,The Black and White Album
,,The Hold Steady,Separation Sunday
,,The Hold Steady,Boys and Girls in America
,,The Hold Steady,Stay Positive
,,The Horrors,Luminous
,,The Horrors,Skying
,,The Horrors,Primary Colours
,,The Jam,Compact Snap!
,,The Jayhawks,Hollywood Town Hall
,,The Jesus and Mary Chain,Psychocandy
,,The Jesus and Mary Chain,21 Singles
,,The Jesus and Mary Chain,Darklands
,,The Jimi Hendrix Experience,Axis: Bold as Love
,,The Jimi Hendrix Experience,Electric Ladyland
,,The Jimi Hendrix Experience,GREATEST HITS
,,The Joy Formidable,Wolf's Law
,,The Joy Formidable,The Big Roar
,,The Juan MacLean,The Future Will Come
,,The Kills,No Wow
,,The Kills,Blood Pressures
,,The Kills,Midnight Boom
,,The Kinks,The Ultimate Collection
,,The Knife,Radio EP
,,The Knife,Silent Shout
,,The La's,The La's
,,The Lemonheads,It's a Shame About Ray
,,The Little Ones,Sing Song EP
,,The Long Winters,When I Pretend to Fall
,,The Long Winters,Putting the Days to Bed
,,The Low Frequency in Stereo,The Last Temptation of...
,,The Lucksmiths,Warmer Corners
,,The Lumineers,The Lumineers
,,The Magic Numbers,The Magic Numbers
,,The Magnetic Fields,Love at the Bottom of the Sea
,,The Magnetic Fields,"69 Love Songs, Volume 1"
,,The Magnetic Fields,Distortion
,,The Maldives,Listen to the Thunder
,,The Modern Lovers,The Modern Lovers
,,The Moondoggies,Tidelands
,,The Moondoggies,Don't Be a Stranger
,,The Morning After Girls,Prelude: EP's 1 and 2
,,The Morning Benders,Big Echo
,,The Mountain Goats,The Sunset Tree
,,The National,High Violet
,,The National,Trouble Will Find Me
,,The National,Alligator
,,The National,Boxer
,,The New Pornographers,Together
,,The New Pornographers,Challengers
,,The New Pornographers,Mass Romantic
,,The New Pornographers,Brill Bruisers
,,The New Pornographers,Twin Cinema
,,The Notwist,Close To The Glass
,,The Notwist,"The Devil, You + Me"
,,The Pains of Being Pure at Heart,Belong
,,The Pains of Being Pure at Heart,The Pains of Being Pure at Heart
,,The Ponys,Celebration Castle
,,The Ponys,Turn the Lights Out
,,The Posies,Frosting on the Beater
,,The Postal Service,Give Up
,,The Psychedelic Furs,Talk Talk Talk
,,The Raconteurs,Consolers of the Lonely
,,The Raconteurs,Broken Boy Soldiers
,,The Rapture,Echoes
,,The Raveonettes,In and Out of Control
,,The Raveonettes,Pretty in Black
,,The Raveonettes,Lust Lust Lust
,,The Replacements,Don't You Know Who I Think I Was? The Best of The Replacements
,,The Replacements,Hootenanny
,,The Replacements,All for Nothing/Nothing for All
,,The Replacements,Pleased to Meet Me
,,The Replacements,Tim
,,The Replacements,Let It Be
,,The Rogers Sisters,The Invisible Deck
,,The Roots,Undun
,,The Roots,Phrenology
,,The Roots,Rising Down
,,The Roots,How I Got Over
,,The Roots,Game Theory
,,The Rosebuds,Birds Make Good Neighbors
,,The Ruby Doe,Always With Wings
,,The Saturday Knights,Mingle
,,The Shins,Port of Morrow
,,The Shins,Chutes Too Narrow
,,The Shins,"Oh, Inverted World"
,,The Shins,Wincing the Night Away
,,The Smiths,The Smiths
,,The Smiths,Meat Is Murder
,,The Smiths,"Strangeways, Here We Come"
,,The Smiths,The Queen Is Dead
,,The Smiths,Louder Than Bombs
,,The Soft Pack,The Soft Pack
,,The Sonics,Here Are The Sonics
,,The Stills,Logic Will Break Your Heart
,,The Stone Roses,The Complete Stone Roses
,,The Stone Roses,The Very Best of the Stone Roses
,,The Stone Roses,The Stone Roses
,,The Stooges,The Stooges
,,The Strokes,Is This It
,,The Subways,Young for Eternity
,,The Sugarcubes,Life's Too Good
,,The Tallest Man on Earth,There's No Leaving Now
,,The Temper Trap,Conditions
,,The The,Dusk
,,The The,Soul Mining
,,The Thermals,Personal Life
,,The Thermals,Now We Can See
,,The Thermals,"The Body, the Blood, the Machine"
,,The Tough Alliance,A New Chance
,,The Transmissionary Six,Radar
,,The Twilight Sad,Fourteen Autumns & Fifteen Winters
,,The Undertones,The Very Best of The Undertones
,,The Undertones,The Undertones
,,The Velvet Underground,The Velvet Underground & Nico
,,The Velvet Underground,Loaded
,,The Velvet Underground,The Velvet Underground
,,The Verve,Urban Hymns
,,The Walkmen,Lisbon
,,The Walkmen,You & Me
,,The Walkmen,Bows + Arrows
,,The Walkmen,Heaven
,,The War on Drugs,Slave Ambient
,,The War on Drugs,Lost in the Dream
,,The Waterboys,This Is the Sea
,,The Weddning Present,Take Fountain
,,The White Stripes,White Blood Cells
,,The White Stripes,Elephant
,,The White Stripes,Get Behind Me Satan
,,The White Stripes,Icky Thump
,,The Wrens,The Meadowlands
,,The xx,Coexist
,,The xx,The xx
,,The xx,xx
,,The Young Evils,Enchanted Chapel
,,Thee Emergency,Can You Dig It?
,,Thee Oh Sees,Drop
,,Thee Oh Sees,Carrion Crawler/The Dream
,,THEESatisfaction,EarthEE
,,THEESatisfaction,Transitions
,,THEESatisfaction,Live at KEXP Volume Eight
,,THEESatisfaction,awE naturalE
,,These New Puritans,Beat Pyramid
,,Thievery Corporation,The Cosmic Game
,,Thom Yorke,The Eraser
,,Tim Armstrong,A Poet's Life
,,Tokyo Police Club,A Lesson in Crime
,,Tom Vek,We Have Sound
,,Tom Waits,Real Gone
,,Toro Y Moi,Anything In Return
,,Trentemøller,The Last Resort
,,Tricky,False Idols
,,Tricky,Maxinquaye
,,tUnE-yArDs,Nikki Nack
,,tUnE-yArDs,W H O K I L L
,,TV on the Radio,"Desperate Youth, Blood Thirsty Babes"
,,TV on the Radio,Nine Types of Light
,,TV on the Radio,Seeds
,,TV on the Radio,Dear Science
,,TV on the Radio,Return to Cookie Mountain
,,Ty Segall,Manipulator
,,U2,The Unforgettable Fire
,,U2,The Joshua Tree
,,Uncle Tupelo,No Depression
,,Uncle Tupelo,Anodyne
,,Unknown Mortal Orchestra,Multi-Love
,,Vampire Weekend,Modern Vampires of the City
,,Vampire Weekend,Contra
,,Vampire Weekend,Vampire Weekend
,,Violent Femmes,Violent Femmes
,,Visqueen,King Me
,,Visqueen,Message to Garcia
,,Voom Blooms,Nine Ships EP
,,Vox Mod,SYN-ÆSTHETIC
,,Warpaint,Warpaint
,,Warpaint,The Fool
,,Washed Out,Paracosm
,,Washed Out,Within and Without
,,Wavves,King of the Beach
,,Wax Tailor,Tales of the Forgotten Melodies
,,We Are Augustines,Rise Ye Sunken Ships
,,We Were Promised Jetpacks,These Four Walls
,,Weekend,Sports
,,Weezer,Weezer
,,White Whale,WWI
,,Wilco,A.M.
,,Wilco,Star Wars
,,Wilco,A Ghost Is Born
,,Wilco,The Whole Love
,,Wilco,Wilco (The Album)
,,Wilco,Sky Blue Sky
,,Wilco,Yankee Hotel Foxtrot
,,Wild Flag,WILD FLAG
,,Wild Nothing,Nocturne
,,Wire,Pink Flag
,,Wolf Alice,My Love is Cool
,,Wolf Parade,Expo 86
,,Wolf Parade,At Mount Zoomer
,,Wolf Parade,Apologies to the Queen Mary
,,Wooden Shjips,West
,,Woods,With Light and With Love
,,WU LYF,Go Tell Fire to the Mountain
,,Wussy,Attica!
,,Wye Oak,Civilian
,,X,Wild Gift
,,X,More Fun in the New World
,,X,Under the Big Black Sun
,,X,Los Angeles
,,XTC,English Settlement
,,XTC,Skylarking
,,Yeah Yeah Yeahs,Mosquito
,,Yeah Yeah Yeahs,Show Your Bones
,,Yeah Yeah Yeahs,Fever to Tell
,,Yeah Yeah Yeahs,It's Blitz!
,,Yeasayer,Fragrant World
,,Yeasayer,Odd Blood
,,Yeasayer,All Hour Cymbals
,,Yo La Tengo,And Then Nothing Turned Itself Inside‐Out
,,Yo La Tengo,Fade
,,Yo La Tengo,Popular Songs
,,Yo La Tengo,I Am Not Afraid of You and I Will Beat Your Ass
,,Yo La Tengo,I Can Hear the Heart Beating as One
,,Youth Group,Skeleton Jar
,,Youth Lagoon,The Year of Hibernation
,,Yppah,They Know What Ghost Know
,,Yppah,Eighty One
,,Yuck,Yuck
,,Z-Trip,Shifting Gears
,,Zola Jesus,Conatus
