Added to MB,Genre,Artist,Release Title,Link,Notes,,,,,,,,,,,,,,,,,,,,,,
,Experimental,Elvis Presley,The Elvis Presley Interview Record - An Audio Self-Portrait,,Different version here https://www.discogs.com/Elvis-Presley-The-Elvis-Presley-Interview-Record-An-Audio-Self-Portrait/master/1133911,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Archie Shepp,Fire Music ,https://www.discogs.com/Archie-Shepp-Fire-Music/release/3431616,"Entry exists in MB, but different catalog number ",,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Archie Shepp,Poem for Malcolm,https://www.discogs.com/Archie-Shepp-Poem-For-Malcolm/release/2110174,"Entry exists in MB, but different catalog number ",,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Archie Shepp and Philly Joe Jones,Archie Shepp and Philly Joe Jones,https://www.discogs.com/Archie-Shepp-Philly-Joe-Jones-Archie-Shepp-Philly-Joe-Jones/release/7479047,"Entry exists in MB, but different catalog number ",,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Art Blakey,Jazz Messengers,https://www.discogs.com/Art-Blakey-Jazz-Messengers/release/4659148,Different label/id than MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Art Blakey Quartet,A Jazz Message,https://www.discogs.com/Art-Blakey-Quartet-A-Jazz-Message/release/1710531,multiple entries in MB ( this is a promo vinyl ),,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Art Blakey Quintet,A Night At Birdland Volume 1,https://www.discogs.com/Art-Blakey-Quintet-A-Night-At-Birdland-Volume-1/release/4761403,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Art Blakey Quintet,A Night At Birdland Volume 2,https://www.discogs.com/Art-Blakey-Quintet-A-Night-At-Birdland-Volume-2/release/3670153,Different label/id than MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Art Blakey's Jazz Messengers,A Night In Tunisia,https://www.discogs.com/Art-Blakeys-Jazz-Messengers-A-Night-In-Tunisia/release/3774996,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Art Ensemble Of Chicago,Tutankhamun,https://www.discogs.com/Art-Ensemble-Of-Chicago-Tutankhamun/release/887618,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Art Tatum,"Art Tatum Solo Masterpieces, Vol 4",https://www.discogs.com/Art-Tatum-The-Tatum-Solo-Masterpieces-Vol-4/release/3468910,CD in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Art Tatum,"Art Tatum Solo Masterpieces, Vol 6",https://www.discogs.com/Art-Tatum-The-Tatum-Solo-Masterpieces-Vol6/release/1295827,CD in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Arthur Russell,"Instrumentals 1974, Vol. 2",https://www.discogs.com/Arthur-Russell-Instrumentals-1974-Vol-2/release/265056,No entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Astor Piazzola,Concierto Para Bandoleon + Tres Tangos,https://www.discogs.com/Astor-Piazzolla-Orchestra-Of-St-Lukes-Lalo-Schifrin-Concierto-Para-Bandone%C3%B3n-Tres-Tangos/release/6127983,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Astor Piazzola,Libertango,https://www.discogs.com/Astor-Piazzolla-Libertango/release/4859273,song order is different ,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Astor Piazzola,Tango: Zero Hour ,https://www.discogs.com/Astor-Piazzolla-And-New-Tango-Quintet-The-Tango-Zero-Hour-Nuevo-Tango-Hora-Zero/release/1270067,No entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Astor Piazzola & Gary Burton,The New Tango,https://www.discogs.com/Astor-Piazzolla-Gary-Burton-The-New-Tango/release/3977900,CD entry in MB (with bonus song),,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Ben Pollack and his Orchestra - Starring Benny Goodman ,1926-1931,https://www.discogs.com/Ben-Pollack-And-His-Orchestra-Starring-Benny-Goodman-1926-31/release/6464249,,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Ben Webster,Ben At His Best,https://www.discogs.com/Ben-Webster-Ben-At-His-Best/release/4124993,,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,"Ben Webster & ""Sweets"" Edison","Ben and ""Sweets""",https://www.discogs.com/Ben-Webster-Sweets-Edison-Ben-And-Sweets/release/3480271,CD & unknown verson in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Benjamin Lew/Steven Brown ,A Propos D'un Paysage ,https://www.discogs.com/Benjamin-Lew-Steven-Brown-A-Propos-DUn-Paysage/release/355791,CD entry in MB ,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bennie Wallace,Twilight Time,https://www.discogs.com/Bennie-Wallace-Twilight-Time/release/1126336,CD in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Benny Goodman,Air Play,https://www.discogs.com/Benny-Goodman-Air-Play/release/4267709,,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Benny Goodman ,Benny Goodman Live at Carnegie Hall ,https://www.discogs.com/Benny-Goodman-Live-At-Carnegie-Hall/release/2793301,,,,,,,,,,,,,,,,,,,,,,,
JL,Jazz,Benny Goodman ,Roll 'Em Vol. 1,https://www.amazon.com/Roll-Em-1-Benny-Goodman/dp/B00M35S5KW/ref=sr_1_1_twi_lp__1?ie=UTF8&qid=1504198317&sr=8-1&keywords=%22benny+goodman%22+%22roll+%27em+volume+1%22,"incomplete (listed as unknown medium) entry in musicbrainz, different release exist in discogs",,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Benny Goodman ,Small Groups: 1941-1945,https://www.discogs.com/Benny-Goodman-Small-Groups-1941-1945/release/4331396,incomplete (listed as unknown medium) entry in musicbrainz,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Benny Goodman ,Vol. III / All The Cats Join In ,https://www.discogs.com/Benny-Goodman-Vol-III-All-The-Cats-Join-In/release/5020987,incomplete (listed as unknown medium) entry in musicbrainz,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Benny Goodman ,Volume II: Clarinet a la King,https://www.discogs.com/Benny-Goodman-Volume-II-Clarinet-A-La-King/release/4866204,,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Benny Goodman Sextet  ,Benny Goodman Sextet  ,https://www.discogs.com/Benny-Goodman-Sextet-Benny-Goodman-Sextet/release/2225491,incomplete (listed as unknown medium) entry in musicbrainz,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Benny Goodman Sextet  ,"Slipped Disc, 1945-1946",https://www.discogs.com/Benny-Goodman-Sextet-Slipped-Disc-1945-1946/release/3582752,incomplete (listed as unknown medium) entry in musicbrainz,,,,,,,,,,,,,,,,,,,,,,
